Date,MSFT,MMM,INTC
22/01/2014,31.503574,117.433853,21.455168
23/01/2014,31.617563,115.910904,21.302582
24/01/2014,32.275166,112.04744,21.031315
27/01/2014,31.591257,110.963287,20.955029
28/01/2014,31.801695,111.694672,21.107611
29/01/2014,32.143642,112.07328,20.921122
30/01/2014,32.319008,110.180275,20.971987
31/01/2014,33.178257,110.300758,20.802443
3/02/2014,31.985817,106.609428,20.302303
4/02/2014,31.871834,109.035896,20.192099
5/02/2014,31.407125,109.586594,20.127922
6/02/2014,31.722771,110.911652,20.53013
7/02/2014,32.055962,112.14212,20.718405
10/02/2014,32.266399,111.600014,20.786871
11/02/2014,32.590805,112.701385,20.940907
12/02/2014,32.853851,112.974236,21.009371
13/02/2014,32.976608,112.714394,21.137737
14/02/2014,32.985371,114.429245,21.189081
18/02/2014,33.056034,114.152107,21.189081
19/02/2014,33.135548,113.078156,20.966581
20/02/2014,33.347565,113.944229,21.171967
21/02/2014,33.550739,113.952942,20.898121
24/02/2014,33.294548,114.498596,21.077831
25/02/2014,33.162048,115.130814,21.069275
26/02/2014,33.100224,115.07019,21.223316
27/02/2014,33.444733,116.35199,21.189081
28/02/2014,33.842247,116.689789,21.189081
3/03/2014,33.374065,114.507233,20.966581
4/03/2014,33.930588,114.914299,21.060722
5/03/2014,33.665577,115.927635,20.966581
6/03/2014,33.700912,116.126854,21.077831
7/03/2014,33.480068,116.152832,21.086393
10/03/2014,33.409401,115.67646,21.257549
11/03/2014,33.586075,114.767036,21.16341
12/03/2014,33.806915,114.819,21.189081
13/03/2014,33.471237,113.294685,21.026489
14/03/2014,33.303394,112.445908,20.966581
17/03/2014,33.612564,114.559181,21.137737
18/03/2014,34.937641,114.96624,21.240427
19/03/2014,34.690289,113.658432,21.411583
20/03/2014,35.626678,114.697746,21.762461
21/03/2014,35.476494,115.295334,21.539951
24/03/2014,35.776855,114.689117,21.497164
25/03/2014,35.635513,116.109497,21.788122
26/03/2014,35.149658,115.269379,21.719669
27/03/2014,34.769806,115.052856,21.65976
28/03/2014,35.600174,116.230774,21.925055
31/03/2014,36.209713,117.495293,22.087654
1/04/2014,36.589558,118.248772,22.241692
2/04/2014,36.527725,117.789734,22.156113
3/04/2014,36.227371,117.911018,22.601118
4/04/2014,35.220318,117.66848,22.387177
7/04/2014,35.158482,116.403984,22.66958
8/04/2014,35.176163,116.785027,23.029013
9/04/2014,35.750351,117.651161,23.088909
10/04/2014,34.769806,116.031563,22.618238
11/04/2014,34.637295,114.663109,22.404285
14/04/2014,34.610786,115.321342,22.729488
15/04/2014,35.114315,116.135445,22.909199
16/04/2014,35.688511,118.45665,23.046124
17/04/2014,35.343998,119.288101,23.140259
21/04/2014,35.282162,120.058899,23.063238
22/04/2014,35.326328,120.292786,22.969105
23/04/2014,35.061306,119.513275,22.892082
24/04/2014,35.211483,118.352692,22.892082
25/04/2014,35.255661,118.274757,22.472754
28/04/2014,36.103695,118.855042,22.532654
29/04/2014,35.78569,119.13221,22.661026
30/04/2014,35.688511,120.466003,22.840736
1/05/2014,35.335155,121.955719,22.635351
2/05/2014,35.061306,121.358078,22.601118
5/05/2014,34.831638,121.782455,22.588171
6/05/2014,34.504791,120.639198,22.614067
7/05/2014,34.822803,122.241478,22.760799
8/05/2014,35.017136,121.972984,22.734907
9/05/2014,34.92881,122.414703,22.70038
12/05/2014,35.308666,123.696579,22.760799
13/05/2014,35.958076,123.358749,22.829847
14/05/2014,35.797955,122.639915,22.726273
15/05/2014,35.228588,122.102905,22.450073
16/05/2014,35.433205,122.232819,22.286074
19/05/2014,35.362041,122.700523,22.475965
20/05/2014,35.299767,121.4533,22.475965
21/05/2014,35.895802,122.573097,22.614067
22/05/2014,35.673401,122.268127,22.570913
23/05/2014,35.691181,122.991379,22.691746
27/05/2014,35.75346,123.252831,23.054266
28/05/2014,35.593346,123.244087,23.200994
29/05/2014,35.886913,124.080666,23.270042
30/05/2014,36.420677,124.220085,23.580776
2/06/2014,36.287231,124.019676,23.528984
3/06/2014,35.842422,124.51638,23.874235
4/06/2014,35.869114,123.967392,23.822453
5/06/2014,36.660873,125.230942,23.874235
6/06/2014,36.901066,126.041328,24.314434
9/06/2014,36.714249,126.633919,24.090019
10/06/2014,36.571911,126.328903,24.374857
11/06/2014,36.349506,125.840942,24.107283
12/06/2014,36.100418,124.673233,24.133175
13/06/2014,36.678658,124.925964,25.781759
16/06/2014,36.918858,124.891083,25.902597
17/06/2014,37.078991,125.213493,25.850813
18/06/2014,37.052299,125.771248,25.833546
19/06/2014,36.927753,125.910629,25.971649
20/06/2014,37.078991,126.494484,26.066599
23/06/2014,37.354763,125.56205,26.092491
24/06/2014,37.141262,124.690636,26.325535
25/06/2014,37.390354,125.178665,26.653524
26/06/2014,37.114571,125.248367,26.567215
27/06/2014,37.586067,125.213493,26.696684
30/06/2014,37.096779,124.82135,26.670788
1/07/2014,37.248013,125.971611,26.739841
2/07/2014,37.274704,126.555443,26.739841
3/07/2014,37.185738,126.712303,26.877943
7/07/2014,37.354763,126.276672,26.782997
8/07/2014,37.167946,125.971611,26.575844
9/07/2014,37.070087,126.07618,26.662155
